"","pkt.2017","teritorija"
"1","2.1.","Antigva un Barbuda"
"2","2.2.","Amerikas Savienoto Valstu Virdžīnu salas"
"3","2.3.","Bahamu salu Sadraudzība"
"4","2.4.","Bahreinas Valsts"
"5","2.5.","Bruneja Darusalama"
"6","2.6.","Dominikas Sadraudzība"
"7","2.7.","Džibutijas Republika"
"8","2.8.","Ekvadoras Republika"
"9","2.9.","Grenāda"
"10","2.10.","Guama (Amerikas Savienotās Valstis)"
"11","2.11.","Jamaika"
"12","2.12.","Jaunkaledonija (Francijas Republika)"
"13","2.13.","Jordānijas Hāšimītu Karaliste"
"14","2.14.","Kenijas Republika"
"15","2.15.","Libērijas Republika"
"16","2.16.","Makao (Ķīnas Tautas Republika)"
"17","2.17.","Maldīvijas Republika"
"18","2.18.","Santomes un Prinsipi Demokrātiskā Republika"
"19","2.19.","Senpjēra un Mikelona (Francijas Republika)"
"20","2.20.","Svētās Helēnas sala (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"21","2.21.","Taiti (Franču Polinēzija)"
"22","2.22.","Tongas Karaliste"
"23","2.23.","Vanuatu Republika"
"24","2.24.","Venecuēlas Republika"
"25","2.25.","Zanzibāras sala (Tanzānijas Apvienotā Republika)"
